,YEAR,BOARDS,ALIGHTS
115th Street (Morgan Park),2006,279,213
115th Street (Morgan Park),2002,269,265
115th Street (Morgan Park),1999,265,234
115th Street (Morgan Park),1997,223,220
115th Street (Morgan Park),1995,267,268
115th Street (Morgan Park),1993,320,315
115th Street (Morgan Park),1991,338,289
115th Street (Morgan Park),1989,355,359
115th Street (Morgan Park),1987,298,255
115th Street (Morgan Park),1985,227,197
115th Street (Morgan Park),1983,215,185
115th Street (Morgan Park),1979,329,0
119th Street,2018,269,264
119th Street,2016,279,264
119th Street,2014,327,292
119th Street,2006,326,320
119th Street,2002,405,375
119th Street,1999,375,391
119th Street,1997,370,350
119th Street,1995,390,393
119th Street,1993,406,403
119th Street,1991,484,490
119th Street,1989,539,493
119th Street,1987,484,431
119th Street,1985,499,455
119th Street,1983,424,405
119th Street,1979,437,0
11th Street (Michigan City),2006,129,112
11th Street (Michigan City),2002,111,99
11th Street (Michigan City),1999,109,90
11th Street (Michigan City),1997,101,85
11th Street (Michigan City),1989,124,143
123rd Street,2018,53,36
123rd Street,2016,45,52
123rd Street,2014,53,49
123rd Street,2006,96,60
123rd Street,2002,67,65
123rd Street,1999,61,62
123rd Street,1997,81,62
123rd Street,1995,73,76
123rd Street,1993,82,72
123rd Street,1991,56,53
123rd Street,1989,75,81
123rd Street,1987,71,48
123rd Street,1985,70,117
123rd Street,1983,65,55
123rd Street,1979,131,0
143rd Street (Orland Park),2018,591,552
143rd Street (Orland Park),2016,548,529
143rd Street (Orland Park),2014,493,491
143rd Street (Orland Park),2006,234,234
143rd Street (Orland Park),2002,241,228
143rd Street (Orland Park),1999,315,272
143rd Street (Orland Park),1997,249,247
143rd Street (Orland Park),1995,319,292
143rd Street (Orland Park),1993,294,273
143rd Street (Orland Park),1991,305,288
143rd Street (Orland Park),1989,418,393
143rd Street (Orland Park),1987,359,341
143rd Street (Orland Park),1985,151,134
143rd Street (Orland Park),1983,135,133
143rd Street (Orland Park),1979,237,0
147th Street (Sibley Boulevard),2018,829,757
147th Street (Sibley Boulevard),2016,984,945
147th Street (Sibley Boulevard),2014,1060,984
147th Street (Sibley Boulevard),2006,1255,1216
147th Street (Sibley Boulevard),2002,1349,1279
147th Street (Sibley Boulevard),1999,1411,1366
147th Street (Sibley Boulevard),1997,1334,1329
147th Street (Sibley Boulevard),1995,1338,1328
147th Street (Sibley Boulevard),1993,1435,1423
147th Street (Sibley Boulevard),1991,1609,1543
147th Street (Sibley Boulevard),1989,1591,1472
147th Street (Sibley Boulevard),1987,1321,1278
147th Street (Sibley Boulevard),1985,1123,1268
147th Street (Sibley Boulevard),1983,990,970
147th Street (Sibley Boulevard),1979,1369,0
153rd Street (Orland Park),2018,544,567
153rd Street (Orland Park),2016,604,591
153rd Street (Orland Park),2014,621,609
153rd Street (Orland Park),2006,715,676
153rd Street (Orland Park),2002,512,445
153rd Street (Orland Park),1999,451,400
153rd Street (Orland Park),1997,429,418
153rd Street (Orland Park),1995,290,290
153rd Street (Orland Park),1993,224,212
153rd Street (Orland Park),1991,197,178
179th Street (Orland Park),2018,208,177
179th Street (Orland Park),2016,201,183
179th Street (Orland Park),2014,190,199
179th Street (Orland Park),2006,209,232
179th Street (Orland Park),2002,166,144
179th Street (Orland Park),1999,97,99
179th Street (Orland Park),1997,79,76
179th Street (Orland Park),1995,67,56
18th Street,2018,23,30
18th Street,2016,42,66
18th Street,2014,41,28
18th Street,2006,29,27
18th Street,2002,16,43
18th Street,1999,29,34
18th Street,1997,21,27
18th Street,1995,24,24
18th Street,1993,27,37
18th Street,1991,12,20
18th Street,1989,20,28
18th Street,1987,11,24
18th Street,1985,27,27
18th Street,1983,19,19
18th Street,1979,48,0
211th Street (Lincoln Highway),2018,527,565
211th Street (Lincoln Highway),2016,727,789
211th Street (Lincoln Highway),2014,855,855
211th Street (Lincoln Highway),2006,1149,1166
211th Street (Lincoln Highway),2002,1241,1262
211th Street (Lincoln Highway),1999,1279,1279
211th Street (Lincoln Highway),1997,1159,1164
211th Street (Lincoln Highway),1995,1173,1163
211th Street (Lincoln Highway),1993,1126,1181
211th Street (Lincoln Highway),1991,1129,1140
211th Street (Lincoln Highway),1989,1082,1053
211th Street (Lincoln Highway),1987,672,634
211th Street (Lincoln Highway),1985,589,587
211th Street (Lincoln Highway),1983,796,958
211th Street (Lincoln Highway),1979,1706,0
27th Street,2018,12,14
27th Street,2016,30,33
27th Street,2014,46,64
27th Street,2006,105,161
27th Street,2002,97,138
27th Street,1999,112,147
27th Street,1997,117,112
27th Street,1995,125,183
27th Street,1993,126,139
27th Street,1991,141,230
27th Street,1989,139,168
27th Street,1987,135,160
27th Street,1985,120,148
27th Street,1983,77,103
27th Street,1979,137,0
"35th St. / ""Lou Jones""",2018,245,316
"35th St. / ""Lou Jones""",2016,227,334
"35th St. / ""Lou Jones""",2014,249,266
47th Street (Kenwood),2018,94,109
47th Street (Kenwood),2016,82,170
47th Street (Kenwood),2014,94,144
47th Street (Kenwood),2006,113,138
47th Street (Kenwood),2002,72,80
47th Street (Kenwood),1999,81,122
47th Street (Kenwood),1997,93,107
47th Street (Kenwood),1995,106,113
47th Street (Kenwood),1993,80,96
47th Street (Kenwood),1991,55,99
47th Street (Kenwood),1989,69,78
47th Street (Kenwood),1987,35,59
47th Street (Kenwood),1985,31,55
47th Street (Kenwood),1983,18,43
47th Street (Kenwood),1979,39,0
53rd Street (Hyde Park),2018,671,728
53rd Street (Hyde Park),2016,642,630
53rd Street (Hyde Park),2014,496,497
53rd Street (Hyde Park),2006,571,584
53rd Street (Hyde Park),2002,582,639
53rd Street (Hyde Park),1999,802,844
53rd Street (Hyde Park),1997,769,769
53rd Street (Hyde Park),1995,691,735
53rd Street (Hyde Park),1993,625,677
53rd Street (Hyde Park),1991,629,798
53rd Street (Hyde Park),1989,656,693
53rd Street (Hyde Park),1987,570,580
53rd Street (Hyde Park),1985,641,674
53rd Street (Hyde Park),1983,427,518
53rd Street (Hyde Park),1979,928,0
55th-56th-57th Street,2018,1133,1022
55th-56th-57th Street,2016,1542,1216
55th-56th-57th Street,2014,1677,1425
55th-56th-57th Street,2006,1591,1228
55th-56th-57th Street,2002,502,518
55th-56th-57th Street,1999,677,702
55th-56th-57th Street,1997,602,575
55th-56th-57th Street,1995,609,625
55th-56th-57th Street,1993,574,601
55th-56th-57th Street,1991,531,563
55th-56th-57th Street,1989,542,557
55th-56th-57th Street,1987,527,548
55th-56th-57th Street,1985,478,598
55th-56th-57th Street,1983,676,650
55th-56th-57th Street,1979,796,0
59th Street (University of Chicago),2018,812,934
59th Street (University of Chicago),2016,674,836
59th Street (University of Chicago),2014,484,700
59th Street (University of Chicago),2006,667,777
59th Street (University of Chicago),2002,1497,1479
59th Street (University of Chicago),1999,1571,1494
59th Street (University of Chicago),1997,1267,1252
59th Street (University of Chicago),1995,1261,1316
59th Street (University of Chicago),1993,1216,1141
59th Street (University of Chicago),1991,1115,1046
59th Street (University of Chicago),1989,914,870
59th Street (University of Chicago),1987,836,726
59th Street (University of Chicago),1985,816,546
59th Street (University of Chicago),1983,513,426
59th Street (University of Chicago),1979,1152,0
63rd Street,2018,167,165
63rd Street,2016,299,271
63rd Street,2014,154,170
63rd Street,2006,270,226
63rd Street,2002,94,127
63rd Street,1999,99,91
63rd Street,1997,95,120
63rd Street,1995,88,124
63rd Street,1993,92,93
63rd Street,1991,67,120
63rd Street,1989,33,61
63rd Street,1987,120,103
63rd Street,1985,87,82
63rd Street,1983,139,97
63rd Street,1979,124,0
67th St.,2014,0,0
67th St.,1983,24,2
67th St.,1979,27,0
75th Street (Grand Crossing),2018,14,20
75th Street (Grand Crossing),2016,28,35
75th Street (Grand Crossing),2014,15,30
75th Street (Grand Crossing),2006,52,64
75th Street (Grand Crossing),2002,20,22
75th Street (Grand Crossing),1999,26,35
75th Street (Grand Crossing),1997,26,33
75th Street (Grand Crossing),1995,23,32
75th Street (Grand Crossing),1993,37,30
75th Street (Grand Crossing),1991,41,26
75th Street (Grand Crossing),1989,47,27
75th Street (Grand Crossing),1987,29,29
75th Street (Grand Crossing),1985,24,24
75th Street (Grand Crossing),1983,61,30
75th Street (Grand Crossing),1979,23,0
79th Street (Chatham),2018,50,58
79th Street (Chatham),2016,59,51
79th Street (Chatham),2014,57,77
79th Street (Chatham),2006,119,142
79th Street (Chatham),2002,120,132
79th Street (Chatham),1999,134,156
79th Street (Chatham),1997,157,143
79th Street (Chatham),1995,122,130
79th Street (Chatham),1993,144,125
79th Street (Chatham),1991,105,110
79th Street (Chatham),1989,103,111
79th Street (Chatham),1987,113,98
79th Street (Chatham),1985,65,93
79th Street (Chatham),1983,70,83
79th Street (Chatham),1979,77,0
80th Avenue (Tinley Park),2018,2064,1982
80th Avenue (Tinley Park),2016,2050,1936
80th Avenue (Tinley Park),2014,1932,1929
80th Avenue (Tinley Park),2006,2459,2322
80th Avenue (Tinley Park),2002,2297,2235
80th Avenue (Tinley Park),1999,1822,1856
80th Avenue (Tinley Park),1997,1585,1570
80th Avenue (Tinley Park),1995,1240,1226
80th Avenue (Tinley Park),1993,1148,1174
80th Avenue (Tinley Park),1991,1268,1209
80th Avenue (Tinley Park),1989,1246,1266
80th Avenue (Tinley Park),1987,1178,1027
80th Avenue (Tinley Park),1985,759,685
80th Avenue (Tinley Park),1983,632,665
80th Avenue (Tinley Park),1979,616,0
83rd Street,2018,74,74
83rd Street,2016,103,97
83rd Street,2014,113,123
83rd Street,2006,217,213
83rd Street,2002,405,421
83rd Street,1999,450,448
83rd Street,1997,417,423
83rd Street,1995,415,433
83rd Street,1993,429,450
83rd Street,1991,486,508
83rd Street,1989,511,547
83rd Street,1987,505,562
83rd Street,1985,475,541
83rd Street,1983,417,453
83rd Street,1979,539,0
83rd Street (Avalon Park),2018,56,62
83rd Street (Avalon Park),2016,40,55
83rd Street (Avalon Park),2014,50,53
83rd Street (Avalon Park),2006,103,89
83rd Street (Avalon Park),2002,95,94
83rd Street (Avalon Park),1999,102,96
83rd Street (Avalon Park),1997,97,85
83rd Street (Avalon Park),1995,82,75
83rd Street (Avalon Park),1993,77,62
83rd Street (Avalon Park),1991,72,73
83rd Street (Avalon Park),1989,67,74
83rd Street (Avalon Park),1987,48,56
83rd Street (Avalon Park),1985,57,53
83rd Street (Avalon Park),1983,46,43
83rd Street (Avalon Park),1979,139,0
87th Street,2018,106,97
87th Street,2016,90,113
87th Street,2014,117,120
87th Street,2006,189,165
87th Street,2002,245,274
87th Street,1999,267,279
87th Street,1997,244,253
87th Street,1995,260,256
87th Street,1993,272,304
87th Street,1991,339,401
87th Street,1989,377,368
87th Street,1987,303,339
87th Street,1985,272,334
87th Street,1983,211,258
87th Street,1979,321,0
87th Street (Woodruff),2018,56,51
87th Street (Woodruff),2016,41,42
87th Street (Woodruff),2014,56,69
87th Street (Woodruff),2006,64,67
87th Street (Woodruff),2002,48,55
87th Street (Woodruff),1999,93,90
87th Street (Woodruff),1997,76,75
87th Street (Woodruff),1995,101,87
87th Street (Woodruff),1993,64,69
87th Street (Woodruff),1991,48,52
87th Street (Woodruff),1989,65,80
87th Street (Woodruff),1987,57,62
87th Street (Woodruff),1985,41,55
87th Street (Woodruff),1983,41,39
87th Street (Woodruff),1979,62,0
91st Street (Beverly Hills),2018,368,391
91st Street (Beverly Hills),2016,364,383
91st Street (Beverly Hills),2014,359,367
91st Street (Beverly Hills),2006,437,467
91st Street (Beverly Hills),2002,542,544
91st Street (Beverly Hills),1999,641,636
91st Street (Beverly Hills),1997,608,620
91st Street (Beverly Hills),1995,716,716
91st Street (Beverly Hills),1993,714,752
91st Street (Beverly Hills),1991,645,617
91st Street (Beverly Hills),1989,706,689
91st Street (Beverly Hills),1987,604,640
91st Street (Beverly Hills),1985,561,547
91st Street (Beverly Hills),1983,478,480
91st Street (Beverly Hills),1979,627,0
91st Street (Chesterfield),2018,23,32
91st Street (Chesterfield),2016,27,22
91st Street (Chesterfield),2014,26,38
91st Street (Chesterfield),2006,66,48
91st Street (Chesterfield),2002,44,37
91st Street (Chesterfield),1999,32,42
91st Street (Chesterfield),1997,39,27
91st Street (Chesterfield),1995,31,22
91st Street (Chesterfield),1993,36,34
91st Street (Chesterfield),1991,32,44
91st Street (Chesterfield),1989,51,38
91st Street (Chesterfield),1987,35,41
91st Street (Chesterfield),1985,38,43
91st Street (Chesterfield),1983,30,26
91st Street (Chesterfield),1979,53,0
93rd Street (South Chicago),2018,472,512
93rd Street (South Chicago),2016,619,631
93rd Street (South Chicago),2014,652,714
93rd Street (South Chicago),2006,974,1053
93rd Street (South Chicago),2002,1108,1090
93rd Street (South Chicago),1999,960,971
93rd Street (South Chicago),1997,997,964
93rd Street (South Chicago),1995,942,949
93rd Street (South Chicago),1993,1001,1074
93rd Street (South Chicago),1991,1012,1029
93rd Street (South Chicago),1989,997,1088
93rd Street (South Chicago),1987,881,985
93rd Street (South Chicago),1985,715,865
93rd Street (South Chicago),1983,635,744
93rd Street (South Chicago),1979,912,0
95th Street (Beverly Hills),2018,443,443
95th Street (Beverly Hills),2016,423,420
95th Street (Beverly Hills),2014,527,486
95th Street (Beverly Hills),2006,604,641
95th Street (Beverly Hills),2002,649,654
95th Street (Beverly Hills),1999,661,698
95th Street (Beverly Hills),1997,637,681
95th Street (Beverly Hills),1995,602,649
95th Street (Beverly Hills),1993,706,741
95th Street (Beverly Hills),1991,676,735
95th Street (Beverly Hills),1989,769,803
95th Street (Beverly Hills),1987,795,778
95th Street (Beverly Hills),1985,760,818
95th Street (Beverly Hills),1983,722,812
95th Street (Beverly Hills),1979,1039,0
95th Street (Chicago State University),2018,24,24
95th Street (Chicago State University),2016,26,41
95th Street (Chicago State University),2014,43,47
95th Street (Chicago State University),2006,49,55
95th Street (Chicago State University),2002,43,51
95th Street (Chicago State University),1999,77,67
95th Street (Chicago State University),1997,58,74
95th Street (Chicago State University),1995,41,55
95th Street (Chicago State University),1993,36,44
95th Street (Chicago State University),1991,47,70
95th Street (Chicago State University),1989,51,53
95th Street (Chicago State University),1987,43,41
95th Street (Chicago State University),1985,24,45
95th Street (Chicago State University),1983,17,30
95th Street (Chicago State University),1979,39,0
99th Street (Beverly Hills),2018,645,644
99th Street (Beverly Hills),2016,725,681
99th Street (Beverly Hills),2014,621,587
99th Street (Beverly Hills),2006,679,741
99th Street (Beverly Hills),2002,759,775
99th Street (Beverly Hills),1999,756,791
99th Street (Beverly Hills),1997,773,706
99th Street (Beverly Hills),1995,721,746
99th Street (Beverly Hills),1993,755,744
99th Street (Beverly Hills),1991,827,850
99th Street (Beverly Hills),1989,941,917
99th Street (Beverly Hills),1987,839,823
99th Street (Beverly Hills),1985,767,790
99th Street (Beverly Hills),1983,614,688
99th Street (Beverly Hills),1979,730,0
"99th Street, Longwood",1985,25,26
"99th Street, Longwood",1983,24,23
"99th Street, Longwood",1979,52,0
Abbott Platform,1985,20,20
Abbott Platform,1983,14,17
Ambridge,1989,17,20
Antioch,2018,192,189
Antioch,2016,184,201
Antioch,2014,227,232
Antioch,2006,262,261
Antioch,2002,169,160
Antioch,1999,141,120
Antioch,1997,124,117
Arlington Heights,2018,2506,2537
Arlington Heights,2016,2578,2409
Arlington Heights,2014,2349,2291
Arlington Heights,2006,2317,2321
Arlington Heights,2002,2496,2448
Arlington Heights,1999,2579,2557
Arlington Heights,1997,2572,2534
Arlington Heights,1995,2833,2801
Arlington Heights,1993,3001,2988
Arlington Heights,1991,3129,3150
Arlington Heights,1989,3179,3117
Arlington Heights,1987,2953,2875
Arlington Heights,1985,2727,2646
Arlington Heights,1983,2764,2701
Arlington Heights,1979,3851,0
Arlington Park,2018,1738,1661
Arlington Park,2016,1697,1659
Arlington Park,2014,1672,1626
Arlington Park,2006,1614,1634
Arlington Park,2002,1665,1691
Arlington Park,1999,1904,1879
Arlington Park,1997,1980,1936
Arlington Park,1995,1957,1930
Arlington Park,1993,1945,1940
Arlington Park,1991,1829,1820
Arlington Park,1989,1845,1835
Arlington Park,1987,1834,1740
Arlington Park,1985,1479,1505
Arlington Park,1983,1430,1417
Arlington Park,1979,1969,0
Ashburn,2018,229,200
Ashburn,2016,218,239
Ashburn,2014,255,271
Ashburn,2006,321,342
Ashburn,2002,353,354
Ashburn,1999,312,322
Ashburn,1997,344,367
Ashburn,1995,322,324
Ashburn,1993,372,385
Ashburn,1991,408,386
Ashburn,1989,424,466
Ashburn,1987,322,319
Ashburn,1985,299,298
Ashburn,1983,244,239
Ashburn,1979,339,0
Ashland Avenue,2018,97,98
Ashland Avenue,2016,111,96
Ashland Avenue,2014,98,72
Ashland Avenue,2006,165,156
Ashland Avenue,2002,137,123
Ashland Avenue,1999,132,132
Ashland Avenue,1997,137,118
Ashland Avenue,1995,138,137
Ashland Avenue,1993,167,165
Ashland Avenue,1991,147,138
Ashland Avenue,1989,154,142
Ashland Avenue,1987,176,178
Ashland Avenue,1985,123,165
Ashland Avenue,1983,166,156
Ashland Avenue,1979,292,0
Aurora,2018,1856,1788
Aurora,2016,1936,1920
Aurora,2014,2107,1972
Aurora,2006,2180,2066
Aurora,2002,1646,1577
Aurora,1999,1467,1387
Aurora,1997,1387,1406
Aurora,1995,1184,1160
Aurora,1993,1033,1026
Aurora,1991,1014,931
Aurora,1989,1056,1133
Aurora,1987,985,976
Aurora,1985,905,964
Aurora,1983,834,837
Aurora,1979,1031,0
Barrington,2018,1725,1732
Barrington,2016,1738,1681
Barrington,2014,1717,1716
Barrington,2006,1724,1799
Barrington,2002,1724,1735
Barrington,1999,1745,1782
Barrington,1997,1758,1742
Barrington,1995,1831,1799
Barrington,1993,1859,1829
Barrington,1991,1748,1793
Barrington,1989,1838,1808
Barrington,1987,1945,1842
Barrington,1985,1631,1604
Barrington,1983,1564,1527
Barrington,1979,2217,0
Bartlett,2018,988,1007
Bartlett,2016,1071,1086
Bartlett,2014,1081,1062
Bartlett,2006,1064,1084
Bartlett,2002,1027,985
Bartlett,1999,1173,1136
Bartlett,1997,1184,1169
Bartlett,1995,1213,1201
Bartlett,1993,1109,1129
Bartlett,1991,1075,1086
Bartlett,1989,915,871
Bartlett,1987,805,834
Bartlett,1985,712,764
Bartlett,1983,669,735
Bartlett,1979,1166,0
Bellwood,2018,145,152
Bellwood,2016,148,160
Bellwood,2014,165,159
Bellwood,2006,215,207
Bellwood,2002,221,221
Bellwood,1999,205,229
Bellwood,1997,196,192
Bellwood,1995,173,185
Bellwood,1993,205,198
Bellwood,1991,196,189
Bellwood,1989,202,184
Bellwood,1987,214,178
Bellwood,1985,225,228
Bellwood,1983,248,228
Bellwood,1979,338,0
Belmont,2018,1408,1403
Belmont,2016,1472,1366
Belmont,2014,1325,1348
Belmont,2006,1414,1440
Belmont,2002,1450,1431
Belmont,1999,1515,1495
Belmont,1997,1495,1408
Belmont,1995,1418,1374
Belmont,1993,1392,1366
Belmont,1991,1410,1435
Belmont,1989,1511,1531
Belmont,1987,1460,1318
Belmont,1985,1400,1300
Belmont,1983,1204,1172
Belmont,1979,1498,0
Belmont Ave. (Franklin Park),2018,24,32
Belmont Ave. (Franklin Park),2016,32,34
Belmont Ave. (Franklin Park),2014,29,36
Belmont Ave. (Franklin Park),2006,25,37
Bensenville,2018,414,406
Bensenville,2016,357,372
Bensenville,2014,433,437
Bensenville,2006,450,407
Bensenville,2002,458,456
Bensenville,1999,498,498
Bensenville,1997,501,495
Bensenville,1995,521,512
Bensenville,1993,526,535
Bensenville,1991,447,454
Bensenville,1989,527,544
Bensenville,1987,448,472
Bensenville,1985,476,510
Bensenville,1983,439,444
Bensenville,1979,802,0
Berkeley,2018,145,158
Berkeley,2016,140,188
Berkeley,2014,161,155
Berkeley,2006,176,197
Berkeley,2002,162,166
Berkeley,1999,194,185
Berkeley,1997,205,207
Berkeley,1995,201,200
Berkeley,1993,201,202
Berkeley,1991,221,240
Berkeley,1989,248,267
Berkeley,1987,246,256
Berkeley,1985,207,205
Berkeley,1983,201,204
Berkeley,1979,254,0
Berwyn,2018,669,646
Berwyn,2016,632,682
Berwyn,2014,732,704
Berwyn,2006,718,751
Berwyn,2002,844,806
Berwyn,1999,860,900
Berwyn,1997,804,860
Berwyn,1995,921,951
Berwyn,1993,869,901
Berwyn,1991,811,912
Berwyn,1989,867,969
Berwyn,1987,882,997
Berwyn,1985,803,911
Berwyn,1983,852,899
Berwyn,1979,1097,0
Beverly Shores,2006,58,37
Beverly Shores,2002,39,32
Beverly Shores,1999,20,28
Beverly Shores,1997,30,18
Beverly Shores,1989,37,43
Big Timber Road,2018,699,664
Big Timber Road,2016,789,714
Big Timber Road,2014,782,737
Big Timber Road,2006,803,698
Big Timber Road,2002,581,560
Big Timber Road,1999,482,473
Big Timber Road,1997,385,380
Big Timber Road,1995,347,334
Big Timber Road,1993,128,132
Big Timber Road,1991,124,132
Big Timber Road,1989,33,32
Big Timber Road,1987,41,22
Blue Island,2018,197,136
Blue Island,2016,181,133
Blue Island,2014,169,139
Blue Island,2006,324,256
Blue Island,2002,237,222
Blue Island,1999,264,259
Blue Island,1997,266,254
Blue Island,1995,303,300
Blue Island,1993,416,416
Blue Island,1991,359,299
Blue Island,1989,323,307
Blue Island,1987,366,327
Blue Island,1985,336,342
Blue Island,1983,393,356
Blue Island,1979,544,0
Blue Island (Vermont Street),2018,479,549
Blue Island (Vermont Street),2016,575,610
Blue Island (Vermont Street),2014,521,497
Blue Island (Vermont Street),2006,1148,990
Blue Island (Vermont Street),2002,931,999
Blue Island (Vermont Street),1999,954,975
Blue Island (Vermont Street),1997,1030,988
Blue Island (Vermont Street),1995,904,889
Blue Island (Vermont Street),1993,881,953
Blue Island (Vermont Street),1991,780,895
Blue Island (Vermont Street),1989,947,976
Blue Island (Vermont Street),1987,914,853
Blue Island (Vermont Street),1985,739,780
Blue Island (Vermont Street),1983,679,652
Blue Island (Vermont Street),1979,920,0
Blue Island (Vermont Street),2018,116,128
Blue Island (Vermont Street),2016,113,122
Blue Island (Vermont Street),2014,124,186
Braeside,2018,410,379
Braeside,2016,442,421
Braeside,2014,373,378
Braeside,2006,341,327
Braeside,2002,340,329
Braeside,1999,330,322
Braeside,1997,247,241
Braeside,1995,275,256
Braeside,1993,292,267
Braeside,1991,324,286
Braeside,1989,295,295
Braeside,1987,313,310
Braeside,1985,286,272
Braeside,1983,301,285
Braeside,1979,387,0
Brainerd,2018,265,258
Brainerd,2016,303,294
Brainerd,2014,322,295
Brainerd,2006,448,467
Brainerd,2002,499,483
Brainerd,1999,375,366
Brainerd,1997,301,268
Brainerd,1995,316,347
Brainerd,1993,297,292
Brainerd,1991,293,286
Brainerd,1989,288,288
Brainerd,1987,213,214
Brainerd,1985,262,157
Brainerd,1983,123,101
Brainerd,1979,311,0
Brighton Park,1983,3,4
Brighton Park,1979,15,0
Brookfield,2018,546,656
Brookfield,2016,572,624
Brookfield,2014,607,645
Brookfield,2006,604,721
Brookfield,2002,660,685
Brookfield,1999,648,656
Brookfield,1997,633,658
Brookfield,1995,659,662
Brookfield,1993,635,666
Brookfield,1991,618,616
Brookfield,1989,688,690
Brookfield,1987,705,696
Brookfield,1985,691,651
Brookfield,1983,708,712
Brookfield,1979,858,0
Bryn Mawr,2018,73,61
Bryn Mawr,2016,112,93
Bryn Mawr,2014,88,109
Bryn Mawr,2006,184,170
Bryn Mawr,2002,225,225
Bryn Mawr,1999,294,287
Bryn Mawr,1997,265,262
Bryn Mawr,1995,236,242
Bryn Mawr,1993,232,248
Bryn Mawr,1991,203,269
Bryn Mawr,1989,171,230
Bryn Mawr,1987,153,190
Bryn Mawr,1985,190,254
Bryn Mawr,1983,153,209
Bryn Mawr,1979,245,0
Buffalo Grove,2018,695,637
Buffalo Grove,2016,590,555
Buffalo Grove,2014,621,618
Buffalo Grove,2006,545,560
Buffalo Grove,2002,547,520
Buffalo Grove,1999,599,562
Buffalo Grove,1997,534,488
Burr Oak,2018,89,100
Burr Oak,2016,117,91
Burr Oak,2014,124,108
Burr Oak,2006,156,122
Burr Oak,2002,179,162
Burr Oak,1999,221,208
Burr Oak,1997,212,212
Burr Oak,1995,251,242
Burr Oak,1993,283,278
Burr Oak,1991,307,282
Burr Oak,1989,367,365
Burr Oak,1987,325,339
Burr Oak,1985,279,290
Burr Oak,1983,350,363
Burr Oak,1979,480,0
Calumet,2018,1077,1060
Calumet,2016,989,1089
Calumet,2014,1187,1124
Calumet,2006,1363,1342
Calumet,2002,1117,1100
Calumet,1999,1128,1101
Calumet,1997,1143,1142
Calumet,1995,1124,1077
Calumet,1993,1097,1117
